class,percentage
15,0.041595052083333334
4,0.17884191176470587
4,0.009184718969555035
15,0.25370442708333335
37,0.001771795612009238
15,0.11776923076923076
4,0.2131257318501171
15,0.09302102102102101
37,0.0033268229166666667
15,0.004188368055555555
37,0.015458797898244265
37,0.018951822916666666
4,0.22000000000000003
15,0.1216374703087886
4,0.017884114583333333
37,0.007929642445213379
15,0.1804394072769953
15,0.004200819672131147
4,0.0019806338028169014
4,0.0023193359375
15,5.859375e-05
15,0.013689037785588753
4,0.29092871779859486
15,0.00037690281030444966
37,0.04095703125
4,0.11132161458333334
37,0.0012697599531615925
4,0.1653014705882353
15,0.2522536764705882
4,0.3699462890625
4,0.01811536161305481
4,0.12438890515222482
4,0.1877735534124629
15,0.026530963302752293
15,0.006390243902439025
15,0.06190493574766355
4,0.29455137587822017
15,0.19915690104166667
4,0.06872721354166667
4,0.14387867647058822
15,0.0011197916666666667
4,0.04951449671772429
4,0.06697526346604216
15,0.046944
4,0.013530663145539907
37,0.01488
4,0.24764524647887326
37,0.004002899484536082
37,0.033998097189695556
15,0.0016606860609167412
15,0.0001943955399061033
4,0.21794496487119436
4,0.3784485294117647
37,0.0015006510416666666
15,0.05204552107728337
37,0.04463366336633663
4,0.18550390625
15,0.017748679577464788
15,0.14337068485523385
37,0.003977864583333333
15,0.0021712239583333336
15,0.001024590163934426
15,0.003950287056367433
15,0.1480255126953125
15,0.0009595588235294118
15,0.098251953125
15,0.00029296875
37,0.0030479753521126763
15,0.227987987987988
4,0.22521008403361345
15,0.036771809133489465
4,0.10768779342723005
4,0.06855362021857923
4,0.1498410359801489
15,0.007306763285024154
37,0.008138020833333332
15,0.02614534543325527
37,0.001708984375
15,0.003664172535211268
4,0.2393881733021077
15,0.025708235981308412
15,0.0034881161971830983
15,0.00019806338028169015
4,0.142553425058548
37,0.0014973958333333334
37,0.010216627634660422
15,0.21861979166666665
37,0.005401053864168618
15,0.016262383449883448
4,0.18062279929577466
15,0.0007191265060240964
4,0.14245555555555556
4,0.14746323529411764
15,1.3048016701461377e-05
4,0.06449063231850118
15,0.034414062499999995
4,0.019848070276497695
4,0.05960286458333334
37,0.003701171875
4,0.09970336644591613
15,0.003690858644859813
37,0.008505721830985916
15,0.0005226666666666666
15,0.014466145833333333
15,0.23969147245762712
37,0.005813526995305164
15,0.002204204204204204
4,0.16243382352941177
4,0.020577256944444445
15,0.1958101580796253
15,0.025537109375
4,0.004650119617224881
37,0.042729824029126215
4,0.19591145833333334
4,0.0378125
4,0.005782710280373832
15,0.00022786458333333334
4,0.037120486870897154
15,0.04734338407494145
15,0.0017513020833333334
15,0.0033125000000000003
37,0.010720588235294119
4,0.24020588235294116
37,0.009023999999999999
4,0.0010660046728971962
37,0.003045333333333333
4,0.07333138173302108
4,0.048603515624999996
15,0.10255371093750001
15,0.04757065850815851
4,0.004527987238979118
4,0.07341145833333333
15,0.06212221244131455
37,0.0023209635416666665
15,0.005035807291666667
4,0.23567769320843093
15,0.050492400744416875
15,0.015312500000000001
15,0.033861350574712644
37,0.02109192037470726
37,0.009241536458333335
15,0.05685285285285285
15,0.0020784428794992176
15,0.0041935011709601875
15,0.02759610705596107
15,0.00025
37,0.11647426470588236
15,0.01254757025761124
15,0.0510893485915493
15,0.15164725825471698
37,0.003811259305210918
4,0.0013151041666666667
4,0.15892472290640394
37,0.0027733333333333334
15,0.00015368852459016392
15,0.04282124125874126
15,0.01187000998003992
15,0.05658903301886793
15,0.001572265625
15,0.06185294117647059
37,0.015439453124999999
15,0.005777777777777778
15,0.19684095036319613
4,0.10171984777517565
15,0.09101216814159292
4,0.3493733062330623
15,0.173916015625
15,0.002600911458333333
4,0.017132611241217798
37,0.011456
15,0.1390845588235294
37,0.001474609375
4,0.09109052359882006
37,0.005111369680851064
4,0.11108054577464788
4,0.00022135416666666666
37,0.0017643229166666666
4,0.42474609374999994
15,0.014511536214953272
4,0.13850911458333331
15,0.00015038145539906104
4,0.2323220486111111
4,0.1650805152979066
4,0.24590969285317615
4,0.005911458333333333
4,0.004869002525252525
4,0.08190135542168675
4,0.15272359341825903
4,0.09128433508479644
4,0.05594319331983806
15,0.40061197916666663
15,0.0005566406250000001
37,0.0011474609375
37,0.037328015222482434
37,0.004058108899297424
4,0.000152587890625
15,0.028572476525821594
37,0.001484375
37,0.0016869145199063231
15,0.0017541580041580043
15,0.0356036036036036
15,0.05031708435207825
15,0.01755708430913349
4,0.11723090277777777
15,0.10644394028103044
37,0.16548502604166665
15,0.018118489583333335
37,0.44142450350467294
4,0.15920183634020618
4,0.026899414062499998
37,0.0012988281249999999
4,0.12202037677816224
4,0.003092447916666667
15,0.038868778280542984
37,0.00279856220657277
4,0.06626170960187353
37,0.0015635593220338982
4,0.18338032581453634
