class,percentage
5,0.12737955729166667
1,0.0008984374999999999
7,0.0017122395833333334
5,0.38682238520408163
7,0.19616861979166667
5,0.16937322778827976
5,0.017216796875000002
7,0.03649736533957845
1,0.08709382318501172
1,0.09524924924924924
1,0.0326661299765808
5,0.15397426470588235
1,0.3839296144859813
7,0.010653409090909092
1,0.14427734375
5,0.1676242774566474
7,0.027190755208333334
5,0.3088118489583333
5,0.06453454332552692
1,0.017184
1,0.0011541193181818182
7,0.04055013020833333
1,0.106048
5,0.2992589077102804
1,0.15817066666666668
7,0.002395099765258216
7,0.1515073123620309
7,0.25881234793187347
1,0.0024574880668257757
7,0.015406901041666667
1,0.10046223958333333
1,0.0024674479166666664
7,0.009371744791666668
1,0.024228515625
7,0.006956380208333333
5,0.5606243674089069
7,0.005384146341463414
7,0.4577351120283019
5,0.5027392578125001
5,0.007637893982808022
7,0.0016528614457831325
7,0.004970666666666667
5,0.6880964578454333
5,0.24569010416666667
7,0.0036718750000000002
7,0.0018294270833333335
7,0.17724609375
7,0.004518382352941176
7,0.23237569060773483
7,0.395258152173913
7,0.003473307291666667
1,0.0002074074074074074
7,0.007474074074074075
7,0.04533083920187793
7,0.004557291666666666
7,0.016228776346604214
1,0.000771484375
7,0.04276566159250585
5,0.1497982687793427
7,0.0002677523474178404
7,0.04109700520833333
7,0.5642506666666667
1,0.09536458333333334
1,0.00258054892601432
7,0.0003318914081145585
5,0.043483072916666664
5,0.03943359375
1,0.4157677107728337
5,0.000931631455399061
7,0.0876100352112676
5,0.24822160421545666
5,0.18515256485849058
7,0.3419344190140845
7,0.010523343373493976
5,0.6291145833333334
1,0.0017724609375
5,0.39778095657276996
7,0.4436072892271663
5,0.10203559027777778
7,0.009131944444444444
7,0.0006440281030444965
5,0.0784619140625
7,0.014003537735849055
7,0.0008040364583333333
7,0.143857421875
1,0.018486533957845434
5,0.10700195312500001
7,0.23905273437500002
5,0.07994791666666666
7,0.0028609154929577466
7,0.4265884798099762
7,0.3437141927083333
7,0.26707040398126464
7,0.0037211538461538463
7,0.003330078125
1,0.27589518229166665
5,0.0068918720657277
7,0.0061139705882352945
5,0.21003255208333332
5,0.08654819277108433
7,0.052873493975903615
5,0.3542941176470588
7,0.19444952928870293
7,0.02955078125
7,0.0033121744791666666
5,0.32473714953271027
1,0.0024407201405152222
7,0.014523565573770492
5,0.27454946319018403
1,0.017884114583333333
1,0.0018285290948275863
5,0.48239830280172413
5,0.053643897646204454
7,0.153017578125
1,0.15275829081632653
1,0.004309895833333333
7,0.008094574036511157
1,0.0025554906542056073
7,0.022897135416666665
7,0.0030033903301886792
7,0.019628220140515223
1,0.004449648711943794
7,0.002085772833723653
7,0.004548448477751757
1,0.0016422563805104408
5,0.0012984154929577465
7,0.000656543427230047
7,0.017578125
7,0.024959748243559718
7,0.43625325520833336
5,0.15822916666666667
7,0.06028613523573201
5,0.09370442708333333
5,0.7512121406296723
5,0.0467356220657277
5,0.09649853411513859
5,0.4887205882352941
5,0.25124608559498957
7,0.014378914405010438
5,0.1568335843373494
7,0.00994485294117647
5,0.6705760095011877
1,0.03969189110070258
1,0.056159999999999995
7,0.026050991048593354
7,0.009579787234042554
5,0.011699137029288702
1,0.043856617647058824
5,0.6658090134297521
7,0.015150610403397028
5,0.21519531249999999
7,0.11853488372093024
5,0.47808919270833333
1,0.005983072916666667
1,0.0032969847775175644
7,0.00015705541237113403
5,0.18241536458333335
7,0.1730499267578125
7,0.007285567915690866
5,0.10105794270833332
7,0.0023372395833333335
1,0.22878662109375
5,0.033204597701149426
7,0.054160919540229883
1,0.061460772833723656
5,0.32715169270833333
7,0.908212890625
5,0.09079775165016502
1,0.08256985294117647
7,0.4916629988262911
7,0.16514973958333334
7,0.025389221556886228
1,0.02277362089201878
1,0.22340161795407099
5,0.3503157552083333
5,0.25680104408352666
5,0.024772135416666667
