Buildings_Loss_train	Buildings_Loss_val	Buildings_Lr_0_train	step	Buildings_F1_Score_train	Buildings_F1_Score_val	Buildings_Mean_IoU_train	Buildings_Mean_IoU_val	Buildings_Pixel_Accuracy_train	Buildings_Pixel_Accuracy_val	Buildings_Precision_train	Buildings_Precision_val	Buildings_Recall_train	Buildings_Recall_val	Buildings_Negative_F1_Score_train	Buildings_Negative_F1_Score_val	Buildings_Negative_Mean_IoU_train	Buildings_Negative_Mean_IoU_val	Buildings_Negative_Pixel_Accuracy_train	Buildings_Negative_Pixel_Accuracy_val	Buildings_Negative_Precision_train	Buildings_Negative_Precision_val	Buildings_Negative_Recall_train	Buildings_Negative_Recall_val	Misc_Loss_train	Misc_Loss_val	Misc_Lr_0_train	Misc_F1_Score_train	Misc_F1_Score_val	Misc_Mean_IoU_train	Misc_Mean_IoU_val	Misc_Pixel_Accuracy_train	Misc_Pixel_Accuracy_val	Misc_Precision_train	Misc_Precision_val	Misc_Recall_train	Misc_Recall_val	Misc_Negative_F1_Score_train	Misc_Negative_F1_Score_val	Misc_Negative_Mean_IoU_train	Misc_Negative_Mean_IoU_val	Misc_Negative_Pixel_Accuracy_train	Misc_Negative_Pixel_Accuracy_val	Misc_Negative_Precision_train	Misc_Negative_Precision_val	Misc_Negative_Recall_train	Misc_Negative_Recall_val	Road_Loss_train	Road_Loss_val	Road_Lr_0_train	Road_F1_Score_train	Road_F1_Score_val	Road_Mean_IoU_train	Road_Mean_IoU_val	Road_Pixel_Accuracy_train	Road_Pixel_Accuracy_val	Road_Precision_train	Road_Precision_val	Road_Recall_train	Road_Recall_val	Road_Negative_F1_Score_train	Road_Negative_F1_Score_val	Road_Negative_Mean_IoU_train	Road_Negative_Mean_IoU_val	Road_Negative_Pixel_Accuracy_train	Road_Negative_Pixel_Accuracy_val	Road_Negative_Precision_train	Road_Negative_Precision_val	Road_Negative_Recall_train	Road_Negative_Recall_val
0.634980320930481		0.012500000186264515	21	0.0		0.0		0.7403885126113892		0.0		0.0		0.7096058130264282		0.5499139428138733		0.5816681385040283		0.6626215577125549		0.7637615203857422		0.10306199640035629		0.012500000186264515	0.06310191005468369		0.03257884830236435		0.8761995434761047		0.05470946058630943		0.07453570514917374		0.3283312916755676		0.19640929996967316		0.2862633764743805		0.923170804977417		0.1996731162071228		0.4083264172077179		0.012500000186264515	0.0		0.0		0.8330132365226746		0.0		0.0		0.8656758069992065		0.7631644010543823		0.7631644010543823		0.7631644010543823		1.0	
0.6029661297798157	0.55439293384552		22	0.0	0.0	0.0	0.0	0.7397996783256531	0.7246370911598206	0.0	0.0	0.0	0.0	0.7971907258033752	0.8403357267379761	0.6627740263938904	0.7246370911598206	0.6643106341362	0.7246370911598206	0.6694818735122681	0.7246370911598206	0.9851077198982239	1.0	-0.13299737870693207	2.8332583904266357		0.03387213870882988	2.2338004782795906e-05	0.017227841541171074	1.1169126992172096e-05	0.8855409026145935	0.9519715309143066	0.03222143277525902	0.003471954260021448	0.03570111095905304	1.120504839491332e-05	0.08026742190122604	0.0003756395890377462	0.04181177541613579	0.00018785508291330189	0.13318999111652374	0.04805333539843559	0.545074999332428	0.9970097541809082	0.043323617428541183	0.00018785518477670848	0.3798924684524536	0.870829164981842		0.0	0.0	0.0	0.0	0.8310317993164062	0.8288100361824036	0.0	0.0	0.0	0.0	0.8635550141334534	0.9063926935195923	0.7598739862442017	0.8288100361824036	0.7598739862442017	0.8288100361824036	0.7598739862442017	0.8288100361824036	1.0	1.0
0.49309998750686646		0.012500000186264515	23	0.0		0.0		0.7377363443374634		0.0		0.0		0.4597921371459961		0.29852601885795593		0.4504244923591614		0.6662283539772034		0.3510243892669678		-0.3667137622833252		0.012500000186264515	0.025477224960923195		0.012902977876365185		0.8713410496711731		0.021864984184503555		0.03051919676363468		0.06615899503231049		0.034211184829473495		0.10861431807279587		0.3933461308479309		0.036116838455200195		0.3470352292060852		0.012500000186264515	0.0		0.0		0.8321234583854675		0.0		0.0		0.8652139902114868		0.7624468803405762		0.7624468803405762		0.7624468803405762		1.0	
0.44065773487091064	0.5741572380065918		24	0.0	0.0	0.0	0.0	0.7420783042907715	0.7188586592674255	0.0	0.0	0.0	0.0	0.5935370922088623	3.462480890448205e-05	0.4220069646835327	1.731270458549261e-05	0.5074225664138794	0.2811501920223236	0.6669121384620667	0.7767857313156128	0.5347074866294861	1.7312790077994578e-05	-0.3980976641178131	2.8342373371124268		0.024672072380781174	0.0	0.012490114197134972	0.0	0.8725208044052124	0.9524656534194946	0.02172216586768627	0.0	0.028549084439873695	0.0	0.06160403788089752	0.0	0.03178093582391739	0.0	0.108640655875206	0.04753434658050537	0.37787649035453796	0.0	0.03353562578558922	0.0	0.30768224596977234	0.8379577398300171		0.0	0.0	0.0	0.0	0.8306720852851868	0.8302871584892273	0.0	0.0	0.0	0.0	0.8634798526763916	0.9072753190994263	0.7597576379776001	0.8302871584892273	0.7597576379776001	0.8302871584892273	0.7597576379776001	0.8302871584892273	1.0	1.0
0.32998761534690857		0.012500000186264515	25	0.0		0.0		0.7400756478309631		0.0		0.0		0.46641966700553894		0.3041377365589142		0.4541076719760895		0.6736453175544739		0.3566940128803253		-0.4466390311717987		0.012500000186264515	0.022179679945111275		0.011214204132556915		0.8779762983322144		0.02001556009054184		0.024868512526154518		0.0556149035692215		0.02860282175242901		0.10664378851652145		0.36472171545028687		0.030102558434009552		0.27466171979904175		0.012500000186264515	0.0		0.0		0.8299297094345093		0.0		0.0		0.8629355430603027		0.7589152455329895		0.7589152455329895		0.7589152455329895		1.0	
0.4715331494808197	0.678977906703949		26	0.0	0.0	0.0	0.0	0.7432999014854431	0.7238472104072571	0.0	0.0	0.0	0.0	0.7718697190284729	0.8337355256080627	0.6284917593002319	0.7148769497871399	0.6415073871612549	0.715723991394043	0.67528235912323	0.7229209542274475	0.9006990194320679	0.9846735596656799	-0.5197215676307678	2.8986263275146484		0.020013384521007538	0.0	0.010107838548719883	0.0	0.8831906914710999	0.9539995789527893	0.018698886036872864	0.0	0.021526671946048737	0.0	0.04766599461436272	0.0	0.024414878338575363	0.0	0.10476072132587433	0.0460003986954689	0.33696481585502625	0.0	0.025646967813372612	0.0	0.23381838202476501	0.7933261394500732		0.0	0.0	0.0	0.0	0.8285476565361023	0.8256329298019409	0.0	0.0	0.0	0.0	0.862517774105072	0.9044895172119141	0.7582692503929138	0.8256329298019409	0.7582692503929138	0.8256329298019409	0.7582692503929138	0.8256329298019409	1.0	1.0
0.5987111330032349		0.012500000186264515	27	0.0		0.0		0.7378103137016296		0.0		0.0		0.7924724221229553		0.6562768816947937		0.6592409610748291		0.6673771142959595		0.9752825498580933		-0.8031035661697388		0.012500000186264515	0.015086877159774303		0.007600774522870779		0.897661030292511		0.01621437817811966		0.014105986803770065		0.031336840242147446		0.0159178264439106		0.10511132329702377		0.2869550585746765		0.016573363915085793																								
0.2932592034339905	0.7326889634132385		28	0.0	0.0	0.0	0.0	0.7395273447036743	0.7181991338729858	0.0	0.0	0.0	0.0	0.7247518301010132	0.8353418111801147	0.5683221817016602	0.7172420024871826	0.5910830497741699	0.7175436019897461	0.6592084169387817	0.7184805870056152	0.8047678470611572	0.9976022839546204	-0.8201018571853638	3.483942747116089		0.051981743425130844	0.0	0.02668442204594612	0.0	0.8673508763313293	0.9525788426399231	0.043040648102760315	0.0	0.06561164557933807	0.0	0.13866883516311646	0.0	0.07449982315301895	0.0	0.16090291738510132	0.04742114618420601	0.67729651927948	0.0	0.07724159210920334	0.0																							
0.5868352055549622		0.012500000186264515	29	0.0		0.0		0.7412180304527283		0.0		0.0		0.7836176753044128		0.6442199349403381		0.6494817137718201		0.6683070659637451		0.9470174312591553																																															
0.20197543501853943	-5.425825595855713		30	0.0	0.0	0.0	0.0	0.7414728403091431	0.7242382168769836	0.0	0.0	0.0	0.0	0.7158989906311035	0.7549195289611816	0.5575098991394043	0.6063218712806702	0.5950077176094055	0.634419858455658	0.6756583452224731	0.7336731553077698	0.7612365484237671	0.7774330973625183																																														
